Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
EL FIERRO;2;8;2;3;6;3;3;5;4;4;2;12;3;3;4;3;7;5;7;5;2;4;4;2;;3;1;1;2;1;1;6;4;2;3;2;;3;4;3;6;2;3;3;4;3;1;6;
TAHNOS;8;8;6;5;6;9;7;6;6;6;4;2;4;2;5;4;8;5;8;3;2;1;2;;;;1;;2;;2;3;2;3;5;;1;1;3;1;1;2;5;4;4;3;6;1;
BULL TRAILER;1;2;3;3;2;2;;6;4;;4;3;5;2;3;;8;9;9;6;2;5;2;4;5;5;;2;5;2;;14;3;8;2;4;9;;1;3;6;1;1;4;;1;;;
MIC;3;5;5;5;6;6;12;5;10;7;6;6;2;4;8;10;9;1;6;10;3;3;3;1;4;;4;3;;1;;;;;1;;2;2;1;1;2;;1;1;;;;;
COMAR;8;6;4;5;9;;1;7;1;4;2;1;5;4;6;2;5;7;5;;;7;5;;1;2;;2;2;2;5;5;3;5;3;;1;1;5;5;1;2;3;3;1;;6;3;
FANGIO;;1;2;11;;8;2;3;3;2;5;2;2;;9;2;2;5;2;5;7;4;3;2;;1;3;3;1;1;4;7;5;;2;1;2;1;1;2;5;5;3;11;3;3;3;1;
INDECAR;2;1;6;4;2;1;3;3;4;;4;4;6;4;1;2;1;12;1;5;1;4;1;3;2;2;1;2;2;2;4;6;2;3;5;7;6;1;3;4;;2;1;5;7;2;3;2;
SORAZABAL;1;1;;2;2;4;1;1;2;1;2;1;;;;1;3;3;3;5;;4;;2;1;;3;1;2;3;5;5;4;4;3;4;3;8;1;6;8;4;6;7;7;4;2;4;
PORSCHE;1;1;2;4;2;;2;;;;1;;5;1;;1;1;;1;4;5;;1;1;1;;3;3;2;1;3;5;2;4;2;1;7;3;4;2;5;12;6;12;2;10;9;1;
NIÑO JESUS DE PRAGA;4;4;;4;1;;1;6;2;2;1;1;;4;1;2;3;3;2;7;5;5;1;1;2;7;1;2;2;;2;2;6;2;5;3;1;3;3;2;2;3;4;7;5;4;3;;
FUR-TAN;1;5;2;1;3;;1;4;1;1;4;6;7;2;4;1;7;1;4;5;6;4;3;5;1;1;1;4;1;;;1;4;1;1;1;5;1;2;2;2;4;6;1;3;2;;1;
SATURNI;6;3;3;1;3;1;4;;6;3;4;2;3;2;2;2;2;6;1;4;1;2;1;;;2;2;4;1;2;4;4;1;1;2;;3;1;1;2;4;;3;1;5;3;6;;
SCANIA/MARCOPOLO;15;;9;1;1;1;;7;4;5;1;;18;6;;;;;;8;;;;;7;;;;;;1;;;;;3;13;1;;1;2;2;1;;1;3;;3;
MB TRAILERS;;;;;;;;;;;;;;;;;;;;6;3;1;4;4;4;;6;2;3;1;5;3;2;4;2;5;8;3;6;3;5;3;1;2;5;9;2;7;
OIL TRAILERS;;19;;1;7;5;10;;1;;1;4;;;2;1;;;;2;;11;;2;20;;;;;;;5;7;;1;;;;;2;;;3;;4;;;;
FAW;7;3;3;2;;2;5;3;2;;1;2;1;3;1;;3;5;2;2;1;1;3;8;3;1;4;4;6;2;14;6;2;;;;1;;;1;;1;;1;1;;;;
R.A.G REAL ALFA GENUINA;6;2;3;;;4;3;3;1;3;2;2;6;2;2;1;;7;3;2;1;1;1;3;5;;;1;7;;;2;5;;;2;6;;;7;1;6;1;2;;3;;;
QME;;1;2;;1;;;3;1;;2;1;;;11;1;5;;;1;1;2;;1;2;13;;;2;;2;1;2;;;2;4;;1;4;;3;11;5;4;5;6;3;
ASTRA;1;;;;3;;;;;;;4;7;;8;7;5;9;2;;13;;;;;1;;15;;;;13;;;;;;;;;;10;;;1;1;;;
IDERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;;3;2;1;2;7;3;11;4;8;10;14;13;12;
DONGFENG;;;;;;;;1;;1;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;9;21;30;29;
