Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
ASTIVIA;;3;4;3;1;;1;;;1;1;;;;;1;1;;;1;3;;2;1;2;1;;;;;;;;3;;;;;;;2;1;;2;;;;;
KYC;1;;;1;1;4;1;1;2;2;;;;;1;;;;2;1;1;1;;2;;1;;;1;;1;1;2;;;1;2;;;;;;;;;;;;
GRASSANI;4;;6;;1;;;;4;1;;1;;3;;1;;;;;;1;;;4;;;;;;1;1;;;;;;;;;;;;;;;;;
GREAT WALL;;;1;;;;;;;;;;;1;1;1;1;1;1;1;1;;1;4;;;;;;;1;1;;1;3;;;1;;;;;;;2;1;1;;1
MINI;2;;;;;1;;;;;;;1;;;;1;;;;;1;1;1;;;;;1;1;1;1;1;;2;;1;1;;2;2;1;;;1;1;;1;
JMC;;;1;;1;;;;;;;1;1;;;;1;;;1;;;;1;;1;;;;;;;2;3;2;;1;;1;1;1;1;;;1;1;;2;
BULL TRAILER;;;;;;;;1;1;;;3;4;;;;;4;;1;1;2;;2;1;1;;;;;;;1;;;;;;;;;;;;;;;;
IDEROL;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;;;;;3;1;1;;1;;1;;1;4;;3;;1
JAC;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;1;3;2;3;;;;1;1
PATRONELLI;;;1;;;;;;;;;1;1;;1;1;1;1;;;;;;;;;;2;1;;;2;;;1;1;;1;;1;;;1;1;;;;;
SHACMAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;3;1;1;1;;3;3;;;
SUZUKI;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;1;;2;;4;4;;1;2;;;
AGRALE;;;1;;;1;;;;1;;;;;;;;;;1;1;1;;4;;1;;;;;2;;;1;;;;;;;1;;;;2;;;;
KAMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;2;1;1;1;;1;1;5;;1;
