Modelo;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
H.C.MANCINI TVM 12 T;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1;;1;;;;1;1;;;;
HERMANN PLAYO A.PL.2E.03;;;;1;;;1;;1;;;;;;1;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HERMANN PLAYO S.PL.1E.52;;;;;2;4;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
HERMANN TOLVA S.TC.3E.74;;;;1;;;2;;;;1;;;;1;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;;;;;
IDERO SEMI CARGA CONV 3E 3D S3 (S3-VT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;
INDUMIX MTI S 8 M3;;;;;;;;;;;;;3;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMBERT A3PO;1;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;1;;;;;;;
LAMBERT S2IP;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;1;;;1;1;1;;;;;
LEO-COR LC-SA-ET-SE-CD-24;;;;;;;;1;;;;;2;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;
MACTRAIL TU 20-10-M-2;;;;;;;;;1;1;;1;;1;1;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;
MALDONADO SEMIRREMOLQUE PLATAFORMA BAJA;;;;;;;;;;;1;;;;1;1;;;;;;1;;;;;;;;;;;1;;;;1;;;;;1;;1;;;;;
MERCEDES BENZ ATEGO 3132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;2;
MERCEDES BENZ B200;2;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MERCEDES BENZ S500;;;;;;;;;;;;;;;;;;;1;2;1;;;;;;1;;1;;;;;1;1;;;;;;;;;;;;;;
MIC ACOPLADO 4 EJES (2D2D) AC4E-BV;;;;;;;;;;3;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;1;;1;;;;;;
MONTENEGRO ACOPLADO PLAYO 4 EJES;;;;;;;;1;1;;;;;;2;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;1;;
MONTESUR SBV3;;1;;;;;1;1;;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;;;;1;;;
NAVATUC NT ACOPLADO BARANDAS VOLCABLES;;1;1;1;;;;1;;;;;;;;;;;;;1;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;
NAVATUC NT ACOPLADO CARGA GENERAL DE 2 EJES;;2;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;
OMBU SBIDBV3E;;;;;;;;;1;;;;;;;;1;;;;;1;;;;1;;1;;;;;;1;1;;;;;;;;;1;;;;;
OMBU SCS3E1+1+11450;;1;;;;;1;1;;;;;;;;1;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;
PETINARI ACOPLADO PLAYO;;;;1;;;1;;;1;;;1;;;;;;1;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;
PINCEN RPBV 2+1E;;;;;1;;;1;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;
PINCEN SR1S 2E;;;;;;1;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;;1;2;;;
PINCEN SR2S 2E;;;;;;1;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;;1;2;;;
RUBIOLO TRAILER UTV (TR1028);;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;1;;1;;;;;2;;1;;;;
RUTERA SEMIBV3EJES;;;3;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S STOESSEL SSBV3;1;;;1;;;;;;1;;;;;1;;;;;1;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;
SALTO ACP4E;;1;;1;;;;;3;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
SALTO CCARRETONT3E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1;;;;;;1;;
SALTO SBDFA3E;;;1;;;1;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;
SALTO SRVT3E;;;;;;3;;;;;;;;;;;;1;;1;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
SANY STC300T;;1;;;;1;;1;;;;;;1;;;1;;;;;;1;;;1;;;;;;;;;1;;;;;;;;;;;;;;
SANY STC800T5;;;;;1;;1;;;;1;;;1;1;;;;;1;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;
SCANIA G540;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;6;;;;;;;;;;;;;;;
SCORZA A.R.O.S. /20 (ACOPLADO ROLL-OFF- CAPACIDAD 20 TON);;1;;1;;;1;;;;;;;2;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
SHACMAN SX42585W385C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;5;;;;;
SIN MARCA AL TRAILERS PLAYO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;2;3;;;;;;;;;;;
SIN MARCA TRAILER FURGON 2 EJES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;1;;;;;1;2;1;;
STAHL AB5130;;;1;;;;;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;1;;;1;;;1;;;
TAHNOS CHBL 4E CTP;;2;1;;1;;;1;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAHNOS SAC 2-1E CTK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;1;3;;
TECNUS SEMIRREMOLQUE MOTOHORMINOGUERA 2 EJES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;1;1;2;
VOLT MOTORS E1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;1;;1;1;;1;;1;;;;;1;;
VOLVO A45G;;;;;;;;;1;1;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VULCANO BITREN T - STST;;1;;;2;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;
ACOPLANOA S-PL-2E;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;1;;;;;;
AHT ALZUARTE S.FURGON CARGA GENERAL 2 E;;;;;;;;;;;;;2;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIELLO ACT-422 TOLVA;;;;;;;;1;;;1;;1;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;;
ASTIVIA A3-BARANDA VOLCABLE-9;;;;1;1;;;;1;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;
AST-PRA FTHDCGW3 FURGON C. GRAL 2+1 EJES;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;1;;1;;;;;;;;;;;;;
BERTOTTO, BOGLIONE Y CIA. S.R. SEMIREMOLQUE 1 EJE TANQUE PILETA DE FRACTURA;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;
BIANCHI AC3860;;;1;;;;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;
BONANO SEMIRREMOLQUE PLAYO DE 1D+2D EJES;;;;;;;;;;;;;3;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;;;;;;;;
BULL TRAILER SR46.7-2111;;;;;;;;;;;;;5;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARROCERIAS APEZ PARIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;1;;1;;2;;;;
CARROCERIAS APEZ PEKIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;2;;1;1;;;;;;
CORMETAL ACOPLADO 3 EJES C/BALLES CGA GRAL AGXB21;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;;;;2;;;;
CORMETAL SBXN31;1;;;1;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;
DANES BITREN D - STBD 4EC DD;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;2;;;;;;;;;1;;;;;;;;
DANES BITREN T - STBT 4EC DD;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;2;;;;;;;;;1;;;;;;;;
EMIKEL PBARBUS 400 ACOPLADO 1 EJE;;;;;;;;;;;1;;1;1;1;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;
EMIKEL PBARBUS 490 ACOPLADO 2 EJES;;;;;;;1;;1;;2;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;
FONIX GOMOTO;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;1;;;2;1;;;;;;
GOMATRO ACOPLADO DE 3 EJES PLAYO;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;1;;;;1;1;;
H.C.MANCINI CARRETON TVM 02 E;1;1;;;2;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
H.C.MANCINI WX 25 T-S;;;;;;;;;2;;;;;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;
HEIL LOW FLAT MULTIPROPOSITO 3ED;;;;2;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
IDERO SEMI CARGA 3E 3D S3 (S3-FP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;1;;2;
IDEROL AC-4E-BV;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;1;1;1;;;;;;1;;;
LAMBERT A3CS;;;;;;1;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;
LAMBERT A3PA;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;1;;;1;1;;;;;;1;;;1;;;;
LAMBERT S3JD;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;1;;;;;1;;;;;;1;1;;1;
LEO-COR L-RM-28CAV;;;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;;;1;;;;;1;;1;;;;;;;1;
LEXUS LC;;;;;1;2;;;;;;;;;;1;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;
MERCEDES BENZ AROCS;2;;1;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;
METAGRO S-T3-BATEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;1;1;1;;
METALURGICA BELGRANO ACOPLADO TANQUE 3 EJES 1ºE SN;2;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;
MONTENEGRO A.B.V.3;;;;;1;1;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;;;;;;
MONTESUR ATP4;;;;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;;
NAVATUC NT SEMIRREMOLQUE CARGA GENERAL 2 EJES;;;;;;;1;;1;;;;;;;;;1;;;;;;;;;;1;;;1;1;1;;;;;;;;;;;;;;;;
NICCOLO SEMIRREMOLQUE 3 EJES (1+2)-ABS;;;1;1;;;;;;;3;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
NIÑO JESUS DE PRAGA SRP2ET;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;;;;;;;;;;1;;;;;;;;2;;;1;;
OMBU AVB4E960;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;1;;;;1;;;;;;
PINCEN SFPLA 1+1E;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QME SR.PL-4. SEMIRREMOLQUE 1 + 1 EJES PLAYO;;;;;;;;;;;;;;;;;4;;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;
RAMI PLAYO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;;;;2;1;;
RANDON SR-CG-02+01 15.30 MTS LARGO;;;;1;2;;;;;1;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
RUBIOLO TR1001;;;;;;;;;;;;;;;;;1;2;;2;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;
SALTO ACBV3E;;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;;
SALTO SRCH3E;;2;;;3;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCANIA S540;;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;
SERO SEDAN;1;;;;;;;;2;1;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
SIN MARCA CRO1400 COLIBRI;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;1;1;;1;;;1;;;
SIN MARCA TG400R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;4;1;;;;;;;;;
SOLA Y BRUSA GANADERO DP 4 EJES;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;;;1;;1;;;;;;;1;;;
SOLA Y BRUSA VUELCO BILAT. 3 EJES TANDEM;;;;;;;2;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;
TAHNOS CHBL 3E CCI;2;1;;;;;1;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
TAHNOS SAT 2-1E TS;;;;;;;;;;;;2;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;
VULCANO BITREN D - SFSD;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;;;;1;;;;;;;;;;2;;;;;;;;
VULCANO BITREN D - STSD;;1;;;1;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;
ZOOMLION ZMC85;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;
ACOPLANOA ACP-CA-3E;;;;;;;;;;;;;;;1;;1;2;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;
AGRALE CA 10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;1;;;;;;;;;;;;;;;;;
AGRALE MT 17.0 GNV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;
AGRALE MT 17.0 LEe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;4;;
ASTIVIA A4-TODO PUERTAS-9;;;;;;1;;;;;;;;;1;;;;;;1;;;;;1;;;;;;;;;;1;;;;;;;1;;;;;;
ASTIVIA S3-TANQUE ALIMENTICIOS;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;2;;;;;;;
BACO AC 1+2 EJES VOLCADOR LATERAL;1;;;;1;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
BONANO ACOPLADO CURTAIN SIDER DE 3 EJES;;2;;;;;1;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;
BONANO ACOPLADO PAQUETERO DE 3 EJES;1;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;1;;
BONANO SEMIRREMOLQUE BARANDA VOLCABLE DE 1+1+1 EJES MAYOR;;1;1;;;1;;;;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BONANO SEMIRREMOLQUE CARNICERO DE 2 EJES TANDEM;;;;;;;;;;;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BULL TRAILER SR 52.3-1112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;
DFSK EC35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;1;;;;;;1;1;;;;
DIMATRA AUTOMOVILERO;;;;;;2;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;
F.H. A.B.V.M.411;;;;1;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;
F.H. A.C.P.M.411;;;1;;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;
F.H. S.V.2.P.A 411;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;1;;;;;;;;;;;
FERBUS KAISEN 520 2E;;;;;;;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FONIX K5MS;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;2;;;
FORD F-4000;;1;1;1;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FUR-TAN SEMI 3 EJES 1 CIST.A.CARB.NO PELIG.CILIN.PINT33000;;1;;;;;;;;;2;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;
FUR-TAN SEMI TOLVA 3 EJES 2 CIST.A.CARB.CON.PINTADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;3;;;;;;
GOMATRO SEMIRREMOLQUE 3 EJES (1+2);;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;1;;;;;;;;;;;
GRASSANI SG2-25TT;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;2;;;;;;;;;;;;;
GROSS TODO PUERTAS 9.30 MTS;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;2;1;;1;;;;;;;;;
GROSS TODO PUERTAS 9.60 MTS (D2-D2);;;1;;;;;1;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
GRUAS SAN BLAS PLAYO-TP5T;;;;;;;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
H.C.MANCINI SVM 35 T;;;;;1;;;;1;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
H.C.MANCINI TVM 03 E;;;1;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;;;;;;;;1;;
H.C.MANCINI TVM-01L;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;2;;;;;
H.C.MANCINI WX 30 T-S;;1;;;;;;;;;;;1;;;;;1;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
HELVETICA AC 3E AR;;;;;;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;2;;;;;;
HELVETICA SR 3E 1+2 VO;;;;;;1;;;;;1;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
HELVETICA SR 3E T TA;;;;;1;;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HERMANN BARANDA VOLCABLE A.BV.2E.09;;;;;;;1;1;;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
HERMANN PLAYO S.PL.2E.50 1+1;;;;;;;;;;;;;;;1;;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;1;;;;
HERMANN S.VL.3E. 63 D;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;1;;
HERMANN S.VL.3E.63 T;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;1;;
HERMANN TOLVA CEREALERA S.TC.3E.74 1+1+1;;;;;;;2;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
HERMANN VOLCADOR BILATERAL 52TN S.VL.3E.63;1;;;;;2;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
HERMANN VUELCO TRASERO S.VT.3E.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;1;1;1;;;;;
HONDA WR-V;;;;;;;;;1;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1
IDERO SEMI CARGA CONV. 3E 1D1D1D S111-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;1;;
LAMBERT A3TA;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;
LAMBERT A3VO;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;
LAMBERT S111TA;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;1;
LAMBERT S2JA;;;;;;;1;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;;;;;;;;;1;;
MACTRAIL T8 18-8-R;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;
MERCEDES BENZ ACTROS 2663 S;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;1;
MERCEDES BENZ AMG G 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;;
METALURGICA BELGRANO SEMIRREMOLQUE 1+2 EJES - CARGA CONVENCIONAL - 52.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;2;;;
MILES GT40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;3;;
MM-MARTIN SEMIRREMOLQUE 3 EJES (2+1) TOLVA;;1;1;;;;;;1;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
MM-MARTIN S-JGDP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;1;;1;;1;;;;;
MONTENEGRO SEMIRREMOLQUE PLAYO 1+2 EJES;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;;;1;1;;
NIÑO JESUS DE PRAGA SA2E;;1;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;;;;
NIÑO JESUS DE PRAGA SCD1E;;;;1;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIÑO JESUS DE PRAGA SCP3LED CARRETON;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;1;;;;;
NIÑO JESUS DE PRAGA SCP4ETCD CARRETON;;;;;1;;;;;;;;;;;1;;;;;1;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;
OMBU AP3E930;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;2;;
OMBU SBV3E1+1+11450;;;;;;;;;;;;;;;;1;1;;;;;;1;;1;;1;;;1;;;;;;;;;;;;;;;;;;;
PEUGEOT E-2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;2;
PINCEN SCS 1E;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;2;;;1;;;;;;;
RAMI CARGODOBLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;1;1;;;;;;1;
RAMI REMOLQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;2;;1;
RANDON SR.FR.03 (FURGON FRIGORIFICO);;;;;;;;;;;;;;;;2;;1;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;
RUBIOLO CARRETON VIAL 18 (HO1005);;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;1;;;;;;2;;;;;;;;;;;;;
SALTO ACV3E;;;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;1;
SALTO SCPC3E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;5;;;;;;;;;
SANY SKT90S;;;;;;;;;1;;;;1;;;;;;;;;;;2;;;;;;;1;;;;1;;;;;;;;;;;;;;
SANY STC1600T7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;1;;;1;1;;;
SERO CARGO ALTO;;;;;;;;;;;;;;;1;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIN MARCA ACOPLADO BALANCIN 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;3;1;;;;;
SIN MARCA AV-CHOIQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;1;1;;1;1;
SIN MARCA KE 400 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;1;;;;1;;;;1;;;;
SINOTRUK SINOTRUK ZZ1257V3847B1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;;;;;;;;;;;;;;;;;;;;
SKYWELL ET5;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;2;1;;1;;;;;;;;;;;;;;;;;
SOLA Y BRUSA BITREN PRIMERA ESPECIE 3ET FORESTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;2;;
SOLA Y BRUSA BITREN SEGUNDA ESPECIE 3ET FORESTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;2;;
SOLA Y BRUSA CORT. LAT 3 EJES - 1+1+1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;1;
SOLA Y BRUSA GANADERO 3 EJES DOBLE PISO;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;
SOLA Y BRUSA PLAYO 3 EJES-1 DESPLAZ. SUSP. NEUM. DIRE;;1;;;1;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
