Modelo;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
MERCEDES BENZ ATEGO 1729 S;34;13;27;15;24;41;20;12;17;36;49;16;55;30;36;40;57;74;75;91;67;68;104;44;78;57;50;79;71;60;123;114;107;110;93;37;117;44;55;66;41;23;21;12;3;4;4;1;
IVECO STRALIS;2;3;6;6;22;15;15;10;10;18;23;12;46;25;22;38;40;43;38;36;41;40;45;37;36;29;23;53;67;53;90;45;46;51;51;45;164;93;78;113;93;113;133;139;82;87;53;35;11
VOLKSWAGEN GOL TREND;535;230;55;858;457;163;22;13;7;2;1;1;1;3;1;1;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;
BAIC BJ30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;36;31;10;36;15;157;371;778;565;246;90
NISSAN X-TRAIL;12;21;17;11;22;25;23;16;11;7;;2;23;13;12;9;1;2;57;37;39;107;88;19;30;35;48;48;56;65;134;113;108;79;40;28;60;66;55;56;51;28;13;120;193;188;71;59;8
MERCEDES BENZ ATEGO 1721;40;50;42;45;47;40;42;35;51;44;43;27;56;48;59;51;40;38;56;57;44;38;43;28;38;44;41;44;44;55;68;70;70;53;34;34;63;27;45;56;60;53;71;75;53;74;34;38;7
MERCEDES BENZ ACCELO 815;60;67;61;68;68;67;72;77;58;87;65;32;71;53;84;60;79;51;48;74;34;45;53;38;48;57;23;45;52;32;75;48;59;96;44;42;91;55;22;6;3;8;3;2;1;4;2;;
VOLKSWAGEN TIGUAN;7;9;8;7;25;23;48;54;24;11;8;32;48;10;3;97;39;71;37;14;21;53;49;32;33;16;15;14;25;35;66;79;62;63;56;29;75;46;73;101;123;129;128;99;83;110;57;26;11
CHERY TIGGO 4;69;65;55;49;59;33;42;38;38;21;30;21;57;37;37;29;36;17;18;44;32;27;39;18;24;27;23;37;44;43;42;49;61;41;62;41;110;52;45;51;65;49;66;64;44;58;58;43;31
BAIC X55;3;2;1;6;5;;2;3;4;7;5;4;15;14;9;5;5;8;4;28;21;12;3;;2;7;24;38;59;19;28;36;62;91;52;50;117;80;123;191;184;86;123;193;92;107;101;82;22
FORD F-150;80;87;47;24;23;19;13;16;6;1;4;8;22;22;57;92;95;76;52;39;22;14;13;16;23;15;16;9;8;3;1;9;53;56;69;48;151;34;53;39;109;45;86;79;100;99;53;31;17
KIA K3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;29;252;237;191;224;311;284;152;186;145;16
VOLKSWAGEN VENTO;20;16;12;11;3;15;19;22;14;7;20;31;31;17;16;6;75;86;41;39;43;82;65;14;16;18;5;8;16;24;54;121;95;76;35;10;65;116;68;85;30;43;55;63;50;55;32;17;8
MERCEDES BENZ ACCELO 1016;56;31;35;62;44;41;54;54;49;46;27;22;67;35;57;46;55;38;28;61;29;30;31;18;36;29;17;22;38;34;53;36;48;64;60;44;109;78;48;38;16;2;5;2;5;3;3;;
RAM 1500;182;101;89;77;82;69;37;12;10;11;8;10;64;20;21;15;13;12;12;7;8;22;45;19;72;41;24;34;25;20;37;22;10;15;9;3;8;5;56;93;86;49;40;30;39;25;16;7;
IVECO TECTOR;9;14;15;13;5;7;13;14;9;14;8;10;14;15;10;24;44;35;25;53;69;25;31;21;17;18;15;9;20;15;19;22;22;22;28;19;60;36;69;144;179;87;82;83;64;60;53;39;11
PEUGEOT 3008;64;31;21;88;74;63;68;85;30;17;22;25;73;38;43;33;30;24;89;40;12;41;27;10;65;76;35;56;48;33;56;85;56;31;21;11;14;2;;1;;1;2;;;;;;
HAVAL JOLION;;;;;;;;;;;;;;;1;8;2;11;7;11;;2;4;1;;;;6;20;20;18;11;7;34;22;27;50;49;55;51;47;68;230;239;186;187;136;85;22
HONDA ZR-V;;;;;;;;;;;;;;;;;;;;;7;39;27;21;47;25;52;110;82;68;123;59;108;57;24;24;79;73;83;104;73;49;68;48;37;61;32;24;7
MERCEDES BENZ BMO 384;38;22;24;40;19;17;9;23;16;33;16;;22;9;13;24;27;22;39;43;30;25;30;2;43;39;20;22;52;20;81;41;44;32;16;31;87;55;60;28;53;35;69;52;61;47;14;11;19
HAVAL H6;7;7;5;2;2;4;3;1;2;;;;12;15;5;9;5;4;11;8;2;8;4;1;3;;4;1;6;11;17;15;17;14;16;11;30;8;17;23;23;66;90;111;277;263;202;135;58
CITROEN JUMPY;91;29;36;33;73;69;67;52;31;22;16;7;92;27;16;7;11;48;27;3;1;3;1;;3;;;7;14;27;34;18;35;24;28;3;57;7;2;89;119;64;73;29;45;21;23;20;5
MERCEDES BENZ O 500;39;35;28;8;70;14;14;15;43;34;77;8;28;10;15;19;6;13;22;21;21;42;4;37;41;5;17;17;13;19;19;31;29;40;22;60;67;60;26;40;43;53;55;36;41;61;34;28;6
RENAULT CAPTUR;88;193;107;94;105;71;88;37;30;92;244;197;40;13;13;2;3;3;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
FIAT TITANO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;85;174;310;407;243;147;45
FOTON TM1;20;9;6;7;8;9;46;57;27;25;18;19;32;64;32;25;32;37;33;29;25;27;24;5;3;9;21;21;49;41;62;46;40;25;21;46;54;20;45;61;35;34;36;32;18;23;14;31;2
